,Portfolio
2014-07-07,162.03
2014-07-08,161.38
2014-07-09,161.47
2014-07-10,161.04
2014-07-11,161.02
2014-07-12,161.02
2014-07-13,161.02
2014-07-14,161.54
2014-07-15,161.31
2014-07-16,162.08
2014-07-17,161.5
2014-07-18,161.78
2014-07-19,161.78
2014-07-20,161.78
2014-07-21,161.48
2014-07-22,162.34
2014-07-23,162.54
2014-07-24,162.53
2014-07-25,162.09
2014-07-26,162.09
2014-07-27,162.09
2014-07-28,161.82
2014-07-29,162.16
2014-07-30,162.07
2014-07-31,160.64
2014-08-01,160.01
2014-08-02,160.01
2014-08-03,160.01
2014-08-04,160.27
2014-08-05,160.43
2014-08-06,160.11
2014-08-07,159.67
2014-08-08,159.44
2014-08-09,159.44
2014-08-10,159.44
2014-08-11,160.58
2014-08-12,160.6
2014-08-13,160.86
2014-08-14,161.3
2014-08-15,161.33
2014-08-16,161.33
2014-08-17,161.33
2014-08-18,162.34
2014-08-19,163.07
2014-08-20,163.29
2014-08-21,163.44
2014-08-22,163.46
2014-08-23,163.46
2014-08-24,163.46
2014-08-25,163.89
2014-08-26,164.59
2014-08-27,164.95
2014-08-28,164.66
2014-08-29,164.95
2014-08-30,164.95
2014-08-31,164.95
2014-09-01,165.03
2014-09-02,165.18
2014-09-03,165.13
2014-09-04,166.1
2014-09-05,166.16
2014-09-06,166.16
2014-09-07,166.16
2014-09-08,166.2
2014-09-09,165.68
2014-09-10,165.33
2014-09-11,165.48
2014-09-12,164.95
2014-09-13,164.95
2014-09-14,164.95
2014-09-15,164.39
2014-09-16,164.52
2014-09-17,164.46
2014-09-18,164.94
2014-09-19,165.41
2014-09-20,165.41
2014-09-21,165.41
2014-09-22,164.77
2014-09-23,163.89
2014-09-24,164.69
2014-09-25,164.14
2014-09-26,164.31
2014-09-27,164.31
2014-09-28,164.31
2014-09-29,164.01
2014-09-30,164.31
2014-10-01,163.61
2014-10-02,162.68
2014-10-03,163.97
2014-10-04,163.97
2014-10-05,163.97
2014-10-06,164.03
2014-10-07,162.92
2014-10-08,162.79
2014-10-09,162.13
2014-10-10,161.29
2014-10-11,161.29
2014-10-12,161.29
2014-10-13,160.4
2014-10-14,160.76
2014-10-15,159.43
2014-10-16,159.18
2014-10-17,160.31
2014-10-18,160.31
2014-10-19,160.31
2014-10-20,160.84
2014-10-21,162.34
2014-10-22,162.87
2014-10-23,163.33
2014-10-24,163.45
2014-10-25,163.45
2014-10-26,163.45
2014-10-27,163.33
2014-10-28,163.96
2014-10-29,164.13
2014-10-30,165.03
2014-10-31,166.5
2014-11-01,166.5
2014-11-02,166.5
2014-11-03,166.4
2014-11-04,165.76
2014-11-05,166.34
2014-11-06,166.83
2014-11-07,166.85
2014-11-08,166.85
2014-11-09,166.85
2014-11-10,167.33
2014-11-11,167.38
2014-11-12,167.27
2014-11-13,167.19
2014-11-14,167.3
2014-11-15,167.3
2014-11-16,167.3
2014-11-17,167.06
2014-11-18,167.29
2014-11-19,166.89
2014-11-20,167.33
2014-11-21,168.66
2014-11-22,168.66
2014-11-23,168.66
2014-11-24,168.94
2014-11-25,169.06
2014-11-26,169.13
2014-11-27,169.42
2014-11-28,169.73
2014-11-29,169.73
2014-11-30,169.73
2014-12-01,168.77
2014-12-02,169.53
2014-12-03,170.27
2014-12-04,169.47
2014-12-05,170.63
2014-12-06,170.63
2014-12-07,170.63
2014-12-08,170.17
2014-12-09,168.95
2014-12-10,168.2
2014-12-11,168.45
2014-12-12,166.91
2014-12-13,166.91
2014-12-14,166.91
2014-12-15,165.84
2014-12-16,165.89
2014-12-17,166.35
2014-12-18,169.08
2014-12-19,169.94
2014-12-20,169.94
2014-12-21,169.94
2014-12-22,170.64
2014-12-23,171.31
2014-12-24,171.3
2014-12-25,171.3
2014-12-26,171.39
2014-12-27,171.39
2014-12-28,171.39
2014-12-29,171.86
2014-12-30,171.66
2014-12-31,172.11
2015-01-01,172.11
2015-01-02,172.13
2015-01-03,172.13
2015-01-04,172.13
2015-01-05,171.75
2015-01-06,170.99
2015-01-07,172.38
2015-01-08,174.06
2015-01-09,173.76
2015-01-10,173.76
2015-01-11,173.76
2015-01-12,173.68
2015-01-13,174.94
2015-01-14,173.9
2015-01-15,175.14
2015-01-16,176.22
2015-01-17,176.22
2015-01-18,176.22
2015-01-19,176.06
2015-01-20,176.02
2015-01-21,176.29
2015-01-22,178.4
2015-01-23,180.54
2015-01-24,180.54
2015-01-25,180.54
2015-01-26,180.93
2015-01-27,179.93
2015-01-28,180.0
2015-01-29,179.9
2015-01-30,179.76
2015-01-31,179.76
2015-02-01,179.76
2015-02-02,179.25
2015-02-03,179.47
2015-02-04,180.52
2015-02-05,180.98
2015-02-06,181.21
2015-02-07,181.21
2015-02-08,181.21
2015-02-09,180.31
2015-02-10,180.82
2015-02-11,180.9
2015-02-12,181.1
2015-02-13,181.46
2015-02-14,181.46
2015-02-15,181.46
2015-02-16,181.57
2015-02-17,181.37
2015-02-18,182.19
