Date,Close,CBR
2013-11-21,1795.85,275.55
2013-11-22,1804.76,275.21
2013-11-25,1802.48,275.08
2013-11-26,1802.75,274.77
2013-11-27,1807.23,273.5
2013-11-29,1805.81,274.97
2013-12-02,1800.9,274.75
2013-12-03,1795.15,276.34
2013-12-04,1792.81,278.02
2013-12-05,1785.03,277.62
2013-12-06,1805.09,278.66
2013-12-09,1808.37,278.87
2013-12-10,1802.62,280.77
2013-12-11,1782.22,281.02
2013-12-12,1775.5,280.16
2013-12-13,1775.32,279.67
2013-12-16,1786.54,280.5
2013-12-17,1781.0,279.6
2013-12-18,1810.65,280.19
2013-12-19,1809.6,281.37
2013-12-20,1818.32,283.13
2013-12-23,1827.99,282.09
2013-12-24,1833.32,282.84
2013-12-26,1842.02,282.91
2013-12-27,1841.4,284.16
2013-12-30,1841.07,282.57
2013-12-31,1848.36,280.17
2014-01-02,1831.98,277.41
2014-01-03,1831.37,276.53
2014-01-06,1826.77,277.1
2014-01-07,1837.88,276.83
2014-01-08,1837.49,274.86
2014-01-09,1838.13,272.29
2014-01-10,1842.37,275.42
2014-01-13,1819.2,276.1
2014-01-14,1838.88,276.77
2014-01-15,1848.38,277.84
2014-01-16,1845.89,278.42
2014-01-17,1838.7,278.41
2014-01-21,1843.8,278.4
2014-01-22,1844.86,280.53
2014-01-23,1828.46,281.29
2014-01-24,1790.29,282.54
2014-01-27,1781.56,279.71
2014-01-28,1792.5,282.18
2014-01-29,1774.2,284.38
2014-01-30,1794.19,283.56
2014-01-31,1782.59,283.31
2014-02-03,1741.89,283.61
2014-02-04,1755.2,286.44
2014-02-05,1751.64,287.11
2014-02-06,1773.43,287.22
2014-02-07,1797.02,289.77
2014-02-10,1799.84,288.89
2014-02-11,1819.75,290.21
2014-02-12,1819.26,291.74
2014-02-13,1829.83,292.57
2014-02-14,1838.63,293.24
2014-02-18,1840.76,298.49
2014-02-19,1828.75,301.7
2014-02-20,1839.78,301.25
2014-02-21,1836.25,301.58
2014-02-24,1847.61,302.2
2014-02-25,1845.12,301.58
2014-02-26,1845.16,301.61
2014-02-27,1854.29,301.59
2014-02-28,1859.45,302.43
2014-03-03,1845.73,305.85
2014-03-04,1873.91,306.25
2014-03-05,1873.81,306.07
2014-03-06,1877.03,307.59
2014-03-07,1878.04,307.19
2014-03-10,1877.17,306.0
2014-03-11,1867.63,304.93
2014-03-12,1868.2,302.99
2014-03-13,1846.34,302.65
2014-03-14,1841.13,302.88
2014-03-17,1858.83,301.02
2014-03-18,1872.25,302.78
2014-03-19,1860.77,302.91
2014-03-20,1872.01,299.5
2014-03-21,1866.52,299.4
2014-03-24,1857.44,299.53
2014-03-25,1865.62,300.83
2014-03-26,1852.56,301.19
2014-03-27,1849.04,303.96
2014-03-28,1857.62,305.21
2014-03-31,1872.34,304.67
2014-04-01,1885.52,301.86
2014-04-02,1890.9,301.3
2014-04-03,1888.77,303.1
2014-04-04,1865.09,304.84
2014-04-07,1845.04,304.35
2014-04-08,1851.96,307.98
2014-04-09,1872.18,309.52
2014-04-10,1833.08,310.19
2014-04-11,1815.69,309.39
2014-04-14,1830.61,311.09
2014-04-15,1842.98,309.24
2014-04-16,1862.31,309.72
2014-04-17,1864.85,311.46
2014-04-21,1871.89,310.57
2014-04-22,1879.55,311.21
2014-04-23,1875.39,311.37
2014-04-24,1878.61,312.19
2014-04-25,1863.4,310.69
2014-04-28,1869.43,309.84
2014-04-29,1878.33,311.85
2014-04-30,1883.95,309.53
2014-05-01,1883.68,306.98
2014-05-02,1881.14,307.14
2014-05-05,1884.66,307.24
2014-05-06,1867.72,307.28
2014-05-07,1878.21,307.0
2014-05-08,1875.63,306.14
2014-05-09,1878.48,304.57
2014-05-12,1896.65,305.51
2014-05-13,1897.45,306.76
2014-05-14,1888.53,307.96
2014-05-15,1870.85,307.08
2014-05-16,1877.86,305.92
2014-05-19,1885.08,306.83
2014-05-20,1872.83,306.92
2014-05-21,1888.03,307.85
2014-05-22,1892.49,307.63
2014-05-23,1900.53,308.26
2014-05-27,1911.91,306.62
2014-05-28,1909.78,306.01
2014-05-29,1920.03,307.34
2014-05-30,1923.57,305.48
2014-06-02,1924.97,305.41
2014-06-03,1924.24,305.02
2014-06-04,1927.88,304.18
2014-06-05,1940.46,304.26
2014-06-06,1949.44,305.25
2014-06-09,1951.27,306.23
2014-06-10,1950.79,305.49
2014-06-11,1943.89,305.23
2014-06-12,1930.11,308.62
2014-06-13,1936.16,309.98
2014-06-16,1937.78,309.83
2014-06-17,1941.99,309.03
2014-06-18,1956.98,309.4
2014-06-19,1959.48,311.74
2014-06-20,1962.87,312.93
2014-06-23,1962.61,312.02
2014-06-24,1949.98,311.99
2014-06-25,1959.53,312.8
2014-06-26,1957.22,312.01
2014-06-27,1960.96,310.82
2014-06-30,1960.23,308.22
2014-07-01,1973.32,307.43
